==============================
Date/Time: 27-10-2021 22-35-18
==============================

==============================
Date/Time: 27-10-2021 22-37-05
==============================

==============================
Date/Time: 27-10-2021 22-44-56
==============================

==============================
RPM:   926.63	Δt (ms): 64.751
RPM:   1741.6	Δt (ms): 34.451
RPM:   2320.8	Δt (ms): 25.853
RPM:   2642.5	Δt (ms): 22.706
RPM:   2213.7	Δt (ms): 27.104
RPM:     1594	Δt (ms): 37.641
RPM:   967.38	Δt (ms): 62.023
RPM:   882.42	Δt (ms): 67.995
RPM:   970.26	Δt (ms): 61.839
RPM:   1458.4	Δt (ms): 41.142
RPM:   2060.1	Δt (ms): 29.125
RPM:   2391.5	Δt (ms): 25.089
RPM:   1989.7	Δt (ms): 30.155
RPM:   1365.4	Δt (ms): 43.943
RPM:   828.23	Δt (ms): 72.444
RPM:   700.06	Δt (ms): 85.707
RPM:   1784.5	Δt (ms): 33.622
RPM:   2339.3	Δt (ms): 25.649
RPM:   2340.5	Δt (ms): 25.636
RPM:   1729.1	Δt (ms): 34.7
RPM:   1087.5	Δt (ms): 55.174
RPM:   532.86	Δt (ms): 112.6
RPM:     1468	Δt (ms): 40.872
RPM:   2176.2	Δt (ms): 27.571
RPM:     2396	Δt (ms): 25.042
RPM:   1819.6	Δt (ms): 32.974
RPM:   1183.6	Δt (ms): 50.693
RPM:   552.32	Δt (ms): 108.632
RPM:   632.09	Δt (ms): 94.923
RPM:   1914.7	Δt (ms): 31.336
RPM:   2380.4	Δt (ms): 25.206
RPM:   1995.7	Δt (ms): 30.065
RPM:   1364.4	Δt (ms): 43.974
RPM:     1122	Δt (ms): 53.477
RPM:   1759.3	Δt (ms): 34.104
RPM:   2159.7	Δt (ms): 27.782
RPM:   2134.4	Δt (ms): 28.111
RPM:   1503.9	Δt (ms): 39.897
RPM:   845.69	Δt (ms): 70.948
RPM:    882.5	Δt (ms): 67.989
RPM:     1354	Δt (ms): 44.313
RPM:   969.59	Δt (ms): 61.882
RPM:   1426.1	Δt (ms): 42.072
RPM:   1623.7	Δt (ms): 36.953
RPM:   967.24	Δt (ms): 62.032
RPM:   1212.1	Δt (ms): 49.5
RPM:   2068.1	Δt (ms): 29.012
RPM:   2524.6	Δt (ms): 23.766
RPM:   2491.7	Δt (ms): 24.08
RPM:     1862	Δt (ms): 32.223
RPM:   1212.7	Δt (ms): 49.476
RPM:   542.66	Δt (ms): 110.566
RPM:   1270.5	Δt (ms): 47.227
RPM:   2096.3	Δt (ms): 28.622
RPM:   2421.1	Δt (ms): 24.782
RPM:   1908.4	Δt (ms): 31.44
RPM:   1264.9	Δt (ms): 47.435
RPM:   1279.2	Δt (ms): 46.906
RPM:   1944.8	Δt (ms): 30.851
RPM:   1735.2	Δt (ms): 34.579
RPM:   1245.3	Δt (ms): 48.182
RPM:   710.14	Δt (ms): 84.49
RPM:   1194.6	Δt (ms): 50.227
RPM:   1902.2	Δt (ms): 31.543
RPM:   1404.6	Δt (ms): 42.718
RPM:   881.83	Δt (ms): 68.04
RPM:   1368.3	Δt (ms): 43.851
RPM:   2067.3	Δt (ms): 29.024
RPM:     2098	Δt (ms): 28.598
RPM:   1458.6	Δt (ms): 41.135
RPM:   785.96	Δt (ms): 76.34
RPM:   1039.4	Δt (ms): 57.728
RPM:   2025.4	Δt (ms): 29.624
RPM:   2494.5	Δt (ms): 24.053
RPM:   2245.7	Δt (ms): 26.718
RPM:   1619.5	Δt (ms): 37.048
RPM:    962.6	Δt (ms): 62.331
RPM:   779.51	Δt (ms): 76.971
RPM:   863.57	Δt (ms): 69.479
RPM:   1672.8	Δt (ms): 35.868
RPM:   2285.2	Δt (ms): 26.256
RPM:   2621.1	Δt (ms): 22.891
RPM:   2215.8	Δt (ms): 27.078
RPM:   1590.2	Δt (ms): 37.731
RPM:   926.81	Δt (ms): 64.738
RPM:    944.6	Δt (ms): 63.519
RPM:   1272.8	Δt (ms): 47.142
RPM:   826.39	Δt (ms): 72.605
RPM:   1571.1	Δt (ms): 38.191
RPM:   2223.8	Δt (ms): 26.981
RPM:   2621.7	Δt (ms): 22.886
RPM:   2302.4	Δt (ms): 26.06
RPM:   1651.3	Δt (ms): 36.334
RPM:   1066.7	Δt (ms): 56.246
RPM:   1131.5	Δt (ms): 53.026
RPM:   1918.6	Δt (ms): 31.272
RPM:   2121.5	Δt (ms): 28.282
RPM:   2095.6	Δt (ms): 28.631
RPM:   1525.2	Δt (ms): 39.338
RPM:   853.23	Δt (ms): 70.321
RPM:   822.19	Δt (ms): 72.976
RPM:   1828.1	Δt (ms): 32.821
RPM:   2113.4	Δt (ms): 28.39
RPM:   1729.2	Δt (ms): 34.698
RPM:   1071.5	Δt (ms): 55.994
RPM:   1237.2	Δt (ms): 48.498
RPM:     1611	Δt (ms): 37.243
RPM:   952.52	Δt (ms): 62.991
RPM:   1154.4	Δt (ms): 51.974
RPM:   1600.9	Δt (ms): 37.478
RPM:   938.44	Δt (ms): 63.936
RPM:   1191.8	Δt (ms): 50.342
RPM:   1836.2	Δt (ms): 32.676
RPM:   1760.5	Δt (ms): 34.082
RPM:   1221.8	Δt (ms): 49.107
RPM:   863.43	Δt (ms): 69.49
RPM:   1775.5	Δt (ms): 33.794
RPM:   2343.4	Δt (ms): 25.604
RPM:   2628.6	Δt (ms): 22.826
RPM:   2233.1	Δt (ms): 26.868
RPM:   1610.7	Δt (ms): 37.252
RPM:    932.2	Δt (ms): 64.364
RPM:   920.75	Δt (ms): 65.164
RPM:    970.8	Δt (ms): 61.805
RPM:   1248.5	Δt (ms): 48.057
RPM:   1844.7	Δt (ms): 32.526
RPM:   1989.8	Δt (ms): 30.154
RPM:   1378.5	Δt (ms): 43.524
RPM:   811.64	Δt (ms): 73.924
