==============================
Date/Time: 27-10-2021 22-35-18
==============================

==============================
Date/Time: 27-10-2021 22-37-05
==============================

==============================
Date/Time: 27-10-2021 22-44-56
==============================

==============================
E(t):  -378.99	Δt: 50
E(t):     1400	Δt: 50
E(t):     1400	Δt: 50
E(t):  -294.63	Δt: 50
E(t):     1400	Δt: 50
E(t):  -256.04	Δt: 50
E(t):  -291.05	Δt: 50
E(t):  -250.89	Δt: 50
E(t):  -272.71	Δt: 50
E(t):  -280.58	Δt: 50
E(t):  -280.58	Δt: 50
E(t):   819.69	Δt: 50
E(t):  -403.53	Δt: 50
E(t):   467.51	Δt: 50
E(t):  -428.21	Δt: 50
E(t):   486.99	Δt: 50
E(t):   -389.6	Δt: 50
E(t):  -399.26	Δt: 50
E(t):   510.93	Δt: 50
E(t):  -383.01	Δt: 50
E(t):   494.79	Δt: 50
E(t):   -358.4	Δt: 50
E(t):   -358.4	Δt: 50
E(t):   519.09	Δt: 50
E(t):  -367.62	Δt: 50
E(t):  -378.94	Δt: 50
E(t):  -327.31	Δt: 50
E(t):  -349.12	Δt: 50
E(t):   512.31	Δt: 50
E(t):  -385.98	Δt: 50
E(t):  -414.28	Δt: 50
E(t):  -414.28	Δt: 50
E(t):  -386.25	Δt: 50
E(t):  -415.65	Δt: 50
E(t):  -324.68	Δt: 50
E(t):  -231.45	Δt: 50
E(t):     1400	Δt: 50
E(t):    787.3	Δt: 50
E(t):   327.15	Δt: 50
E(t):   327.15	Δt: 50
E(t):   787.56	Δt: 50
E(t):   787.56	Δt: 50
E(t):   787.56	Δt: 50
E(t):   937.32	Δt: 50
E(t):   646.57	Δt: 50
E(t):  -203.93	Δt: 50
E(t):  -216.55	Δt: 50
E(t):   556.47	Δt: 50
E(t):  -353.87	Δt: 50
E(t):  -353.87	Δt: 50
E(t):  -520.18	Δt: 50
E(t):  -526.78	Δt: 50
E(t):   394.96	Δt: 50
E(t):  -679.22	Δt: 50
E(t):   333.37	Δt: 50
E(t):   -732.8	Δt: 50
E(t):     1400	Δt: 50
E(t):  -664.05	Δt: 50
E(t):  -657.61	Δt: 50
E(t):  -657.61	Δt: 50
E(t):  -620.07	Δt: 50
E(t):  -650.09	Δt: 50
E(t):  -669.11	Δt: 50
E(t):   360.61	Δt: 50
E(t):  -718.42	Δt: 50
E(t):   -717.3	Δt: 50
E(t):     1400	Δt: 50
E(t):   721.48	Δt: 50
E(t):  -605.15	Δt: 50
E(t):  -591.97	Δt: 50
E(t):  -560.46	Δt: 50
E(t):    428.8	Δt: 50
E(t):  -522.77	Δt: 50
E(t):     1400	Δt: 50
E(t):   765.61	Δt: 50
E(t):  -481.23	Δt: 50
E(t):  -505.85	Δt: 50
E(t):  -451.34	Δt: 50
E(t):  -460.47	Δt: 50
E(t):  -478.05	Δt: 50
E(t):  -478.05	Δt: 50
E(t):  -415.82	Δt: 50
E(t):  -370.28	Δt: 50
E(t):   568.73	Δt: 50
E(t):   568.73	Δt: 50
E(t):   568.73	Δt: 50
E(t):   893.49	Δt: 50
E(t):  -200.68	Δt: 50
E(t):     1400	Δt: 50
E(t):   862.19	Δt: 50
E(t):   -215.2	Δt: 50
E(t):  -238.85	Δt: 50
E(t):  -252.53	Δt: 50
E(t):  -252.53	Δt: 50
E(t):  -354.64	Δt: 50
E(t):  -354.64	Δt: 50
E(t):    797.4	Δt: 50
E(t):  -494.24	Δt: 50
E(t):  -564.44	Δt: 50
E(t):  -508.28	Δt: 50
E(t):  -528.21	Δt: 50
E(t):   -545.9	Δt: 50
E(t):     1400	Δt: 50
E(t):   924.51	Δt: 50
E(t):  -460.87	Δt: 50
E(t):     1400	Δt: 50
E(t):  -436.43	Δt: 50
E(t):     1400	Δt: 50
E(t):  -397.27	Δt: 50
E(t):     1400	Δt: 50
E(t):   803.42	Δt: 50
E(t):   803.42	Δt: 50

==============================
Date/Time: 28-10-2021 18-38-24
==============================
E(t):     1400	Δt: 72
E(t):     1400	Δt: 50
E(t):     1400	Δt: 50
E(t):     1400	Δt: 50
E(t):   1176.9	Δt: 50
E(t):   1176.9	Δt: 50
E(t):   1176.9	Δt: 50
